"prod_number","client_name","fulfillment_center_name","po_number","0-7 days","16-23 days","24-31 days","32-45 days","46-60 days","61-90 days","8-15 days",">90 days"
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054906",1,0,0,0,0,0,0,0
"172703969","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055170",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055330",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055665",1,0,0,0,0,0,0,0
"172703969","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1056172",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999249",0,1,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-965676",0,0,1,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180725-1039950",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180725-1039960",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009252",0,1,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045425",1,0,0,0,0,0,0,0
"172723887","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1047054",1,0,0,0,0,0,0,0
"173509715","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180719-1020414",0,0,0,0,0,0,1,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1017428",0,0,0,0,0,0,1,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1017402",0,0,0,0,0,0,1,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054779",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054602",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054824",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054947",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055475",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055504",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1057084",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180628-956034",0,0,0,4,0,0,0,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180628-956034",0,0,0,2,0,0,0,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1014262",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180711-996023",0,1,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033096",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033165",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1033332",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045409",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045441",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049185",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054303",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054479",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054886",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054934",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054948",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055484",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055491",1,0,0,0,0,0,0,0
